Categoria,Indicatore,Territorio,Periodo,Valore,Unita,Fonte,Aggiornato
Appalti,Appalti lavori (importo),Aosta,2025-09,9723744,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Aosta,2025-10,20391923,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Aosta,2025-11,19203062,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Aosta,2025-12,52206809,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2024-01,246043,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2024-02,817183,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2024-03,113059905,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2024-04,10382653,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2024-05,18958411,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2024-06,4064003,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2024-07,11804725,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2024-08,8376110,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2024-09,20950968,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2024-10,9445224,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2024-11,3370469,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2024-12,51240894,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2025-01,3186401,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2025-02,1771726,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2025-03,5334862,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
