PeriodoCod,Periodo,Ordine,Gruppo,Indicatore,Unita,Territorio,Valore
206,II sem 2006,4013,Previsioni (saldo aumento-riduzione),Fatturato,saldo,Torino,-4.1
206,II sem 2006,4013,Previsioni (saldo aumento-riduzione),Fatturato,saldo,Verbania,-11.1
206,II sem 2006,4013,Previsioni (saldo aumento-riduzione),Fatturato,saldo,Vercelli,-25.0
206,II sem 2006,4013,Previsioni (saldo aumento-riduzione),Occupazione dipendente,saldo,Alessandria,0.0
206,II sem 2006,4013,Previsioni (saldo aumento-riduzione),Occupazione dipendente,saldo,Aosta,22.2
206,II sem 2006,4013,Previsioni (saldo aumento-riduzione),Occupazione dipendente,saldo,Asti,-14.3
206,II sem 2006,4013,Previsioni (saldo aumento-riduzione),Occupazione dipendente,saldo,Biella,-7.7
206,II sem 2006,4013,Previsioni (saldo aumento-riduzione),Occupazione dipendente,saldo,Cuneo,-3.0
206,II sem 2006,4013,Previsioni (saldo aumento-riduzione),Occupazione dipendente,saldo,Novara,-14.3
206,II sem 2006,4013,Previsioni (saldo aumento-riduzione),Occupazione dipendente,saldo,Torino,-3.9
206,II sem 2006,4013,Previsioni (saldo aumento-riduzione),Occupazione dipendente,saldo,Verbania,-11.1
206,II sem 2006,4013,Previsioni (saldo aumento-riduzione),Occupazione dipendente,saldo,Vercelli,-26.7
206,II sem 2006,4013,Previsioni (saldo aumento-riduzione),Ricorso a manodopera esterna,saldo,Alessandria,5.6
206,II sem 2006,4013,Previsioni (saldo aumento-riduzione),Ricorso a manodopera esterna,saldo,Aosta,0.0
206,II sem 2006,4013,Previsioni (saldo aumento-riduzione),Ricorso a manodopera esterna,saldo,Asti,20.0
206,II sem 2006,4013,Previsioni (saldo aumento-riduzione),Ricorso a manodopera esterna,saldo,Biella,-21.1
206,II sem 2006,4013,Previsioni (saldo aumento-riduzione),Ricorso a manodopera esterna,saldo,Cuneo,5.1
206,II sem 2006,4013,Previsioni (saldo aumento-riduzione),Ricorso a manodopera esterna,saldo,Novara,-16.7
206,II sem 2006,4013,Previsioni (saldo aumento-riduzione),Ricorso a manodopera esterna,saldo,Torino,-18.2
206,II sem 2006,4013,Previsioni (saldo aumento-riduzione),Ricorso a manodopera esterna,saldo,Verbania,22.2
206,II sem 2006,4013,Previsioni (saldo aumento-riduzione),Ricorso a manodopera esterna,saldo,Vercelli,13.3
206,II sem 2006,4013,Tempi medi pagamento committenti (giorni),Pubblici,giorni,Alessandria,127.9
206,II sem 2006,4013,Tempi medi pagamento committenti (giorni),Pubblici,giorni,Aosta,78.6
206,II sem 2006,4013,Tempi medi pagamento committenti (giorni),Pubblici,giorni,Asti,153.0
206,II sem 2006,4013,Tempi medi pagamento committenti (giorni),Pubblici,giorni,Biella,158.0
206,II sem 2006,4013,Tempi medi pagamento committenti (giorni),Pubblici,giorni,Cuneo,138.0
206,II sem 2006,4013,Tempi medi pagamento committenti (giorni),Pubblici,giorni,Novara,130.0
206,II sem 2006,4013,Tempi medi pagamento committenti (giorni),Pubblici,giorni,Torino,92.4
206,II sem 2006,4013,Tempi medi pagamento committenti (giorni),Pubblici,giorni,Verbania,150.0
206,II sem 2006,4013,Tempi medi pagamento committenti (giorni),Pubblici,giorni,Vercelli,149.5
